solver,map,agents,finishing_time_s,solved_instances,solve_time_mean_s,solve_time_std_s,cnf_variables_mean,cnf_variables_std,cnf_clauses_mean,cnf_clauses_std
LNS++1,empty-48-48,100,51.31172900000001,100,0.5131172900000001,0.1637373350552216,4425.33,4269.240562570819,30598.67,92981.74563203844
LNS++1,empty-32-32,10,2.121381,100,0.02121381,0.003142217559924837,29.09,37.371137258585,69.0,99.15805564854527
LNS++1,empty-32-32,20,3.30953,100,0.0330953,0.004474063009167395,148.59,170.47152812126726,453.55,1299.5854060045458
LNS++1,empty-32-32,50,32.099148,100,0.32099148,1.38144237791196,3015.86,10323.748895648325,78790.99,432839.709713203
LNS++1,empty-32-32,100,600.0,0,,,,,,
LNS++1,empty-16-16,10,0.9733550000000001,100,0.00973355,0.0022831097887530505,87.26,108.8131995669643,257.97,542.3762062443373
LNS++1,empty-16-16,20,2.193497,100,0.021934969999999998,0.020771071861343606,559.26,955.455280167523,3667.47,15571.306799016582
LNS++1,empty-16-16,50,600.0,18,30.996438222222213,23.949138342463684,107299.77777777778,51610.658644590025,3743135.111111111,2250085.0001501148
LNS++1,empty-16-16,100,600.0,1,572.1616750000001,0.0,158282.0,0.0,8236585.0,0.0
LNS++1,Berlin_1_256,10,149.81179699999998,100,1.4981179699999998,0.0846309628382491,14.79,33.059732303816375,35.79,83.0642275591605
LNS++1,Berlin_1_256,20,314.03368900000004,100,3.1403368900000004,0.13983258982654187,70.61,171.22709452653808,332.08,1957.4778041142638
LNS++1,Berlin_1_256,50,600.0,68,8.607542676470588,0.28254548008560865,432.05882352941177,318.3185549447995,1366.985294117647,2563.2373515482273
LNS++1,Berlin_1_256,100,600.0,30,19.5339694,0.9627421342692133,6762.466666666666,20190.344847200824,61016.833333333336,200083.58468684752
LNS++1,Berlin_1_256,200,600.0,12,48.788213250000005,2.9321388193128497,16813.083333333332,27714.60770501823,177537.0,430537.1202981999
LNS++1,warehouse-20-40-10-2-2,10,89.24638300000001,100,0.8924638300000001,0.0716816085950999,8.94,24.35603415993663,21.71,60.560596925723914
LNS++1,warehouse-20-40-10-2-2,20,187.937603,100,1.87937603,0.1297425774973239,61.61,71.64480371946036,149.36,177.51008534728385
LNS++1,warehouse-20-40-10-2-2,50,527.445556,100,5.27445556,0.30122358432995655,421.42,232.0826654448798,1032.63,632.4197760190615
LNS++1,warehouse-20-40-10-2-2,100,600.0,48,12.261096208333333,0.4619663044389692,1723.125,389.70954060898566,4219.375,1024.8980564142303
LNS++1,warehouse-20-40-10-2-2,200,600.0,17,33.60762900000001,1.3507396643032297,7435.764705882353,1269.9323061816078,23283.117647058825,15926.930238112069
LNSinit2,room-64-64-8,10,600.0,31,0.053447516129032244,0.008384326332878,553.8387096774194,789.917435325106,3250.8709677419356,6686.681995757158
LNSinit2,room-64-64-8,20,600.0,1,0.132852,0.0,1331.0,0.0,4753.0,0.0
LNSinit2,room-64-64-16,10,600.0,92,0.06095809782608697,0.0049525308024408795,311.3478260869565,340.34459630557456,1284.0434782608695,1791.5969735130013
LNSinit2,room-64-64-16,20,600.0,9,0.13624288888888889,0.012778852612764787,1936.111111111111,1259.2269625487997,9705.111111111111,8090.664626516504
LNSinit2,room-64-64-16,50,600.0,7,4.326388285714286,5.757708887259925,100821.28571428571,94088.94399710199,2208923.8571428573,2646214.4932003436
LNSinit2,room-32-32-4,10,303.650576,100,3.03650576,13.095615937010907,16943.99,65661.88583120272,1069750.83,4371327.2870070515
LNSinit2,room-32-32-4,20,600.0,41,7.831106853658538,22.880785564737142,40446.78048780488,99806.65917137901,2221736.7804878047,6212816.854293019
LNSinit2,room-32-32-4,50,600.0,0,,,,,,
LNSinit2,empty-48-48,10,3.3112700000000004,100,0.0331127,0.003444618032525522,24.25,28.4121012950468,77.08,95.90064441910701
LNSinit2,empty-48-48,20,6.625207,100,0.06625207,0.005287868247706254,111.53,69.81510653146638,379.55,378.89933689569847
LNSinit2,empty-48-48,50,17.455224000000005,100,0.17455224000000005,0.011143025614365247,887.71,485.4040645688909,4304.43,6572.016045712305
LNSinit2,empty-48-48,100,89.49627199999999,100,0.8949627199999999,3.179898757571241,9286.36,24004.084740943574,202740.0,1133842.476158183
LNSinit2,empty-32-32,10,2.0255560000000004,100,0.020255560000000002,0.0032203924553383246,37.88,33.89639508856362,125.32,120.4200880252128
LNSinit2,empty-32-32,20,3.3518539999999994,100,0.03351853999999999,0.0050026887998755225,183.92,239.7283746242818,738.8,1769.555209650154
LNSinit2,empty-32-32,50,11.245208,100,0.11245208,0.11349230584455318,2610.35,4095.9368656633374,26827.81,82720.56401085464
LNSinit2,empty-32-32,100,600.0,4,77.88426249999999,131.68705331416552,176129.5,234703.89322133112,8038984.5,12420146.780834608
LNSinit2,empty-16-16,10,0.8730289999999999,100,0.00873029,0.0023901382273625936,90.89,82.23136810244617,318.43,388.9621126793714
LNSinit2,empty-16-16,20,2.0439309999999997,100,0.02043931,0.009534275815912817,695.01,656.4226610195599,4242.13,6960.61527977951
LNSinit2,empty-16-16,50,600.0,50,8.94101724,12.206990014470202,60333.2,46748.60970210772,1626812.84,1562117.247686221
LNSinit2,empty-16-16,100,600.0,1,569.202597,0.0,155613.0,0.0,8228035.0,0.0
LNSinit2,Berlin_1_256,10,151.774673,100,1.51774673,0.08863896124637914,17.52,46.12385066318727,49.07,114.54817807368215
LNSinit2,Berlin_1_256,20,319.238366,100,3.19238366,0.1424445848736427,83.33,251.33066088322772,656.28,4727.3188385807025
LNSinit2,Berlin_1_256,50,600.0,67,8.78293510447761,0.27658866265096405,509.5074626865672,396.27618791505427,2183.0,5843.64324613162
LNSinit2,Berlin_1_256,100,600.0,30,19.436701866666667,1.2515048886518647,7688.766666666666,20416.448365118642,152608.8,527036.3512346753
LNSinit2,Berlin_1_256,200,600.0,12,46.219974083333334,2.1757571497200106,13163.0,8913.085333747606,115376.0,150799.54888471428
LNSinit2,warehouse-20-40-10-2-2,10,88.929332,100,0.88929332,0.07187481919641678,10.92,21.33151658930982,32.59,62.23955253695193
LNSinit2,warehouse-20-40-10-2-2,20,190.79281999999998,100,1.9079281999999997,0.11945510961235606,64.36,64.6894921915453,187.28,178.6611922046867
LNSinit2,warehouse-20-40-10-2-2,50,534.7791520000001,100,5.34779152,0.26291944108207294,425.82,176.45194133247725,1251.11,526.9864114946419
LNSinit2,warehouse-20-40-10-2-2,100,600.0,49,12.028074265306122,0.4883050764004402,1696.7142857142858,304.00315519307844,5204.857142857143,1789.537815145781
LNSinit2,warehouse-20-40-10-2-2,200,600.0,19,30.736987631578945,0.9647424851832207,7288.684210526316,1375.3873350186266,28743.157894736843,25964.899234124274
