map_name,num_agents,solver,timestep,collision_iter,cnf_vars,cnf_clauses,solver_time_s,decisions,propagations,collisions_added,status,seed,params
"mapf-map/empty-8-8.map",15,"MiniSAT",8,0,937,6540,0.00994866,248,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,1,937,6555,0.0105665,241,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,2,937,6559,0.00950451,224,954,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,3,937,6561,0.00964281,240,963,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,4,937,6564,0.00759822,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,5,937,6565,0.00580476,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,6,937,6566,0.00481087,253,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,7,937,6568,0.00496618,252,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,8,937,6570,0.00520761,260,1007,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,9,937,6573,0.00579117,237,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,10,937,6575,0.00626769,232,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,11,937,6579,0.00711079,235,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,12,937,6580,0.0053094,407,1603,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
